municipio;codEstacao;uf;nomeEstacao;latitude;longitude;offset;datahora;sensor;valorMedida
ARARANGUÁ;420140614H;SC;Rio Ararangua;-49.48753;-28.93003;13.61;2019-01-08 06:10:00.0;chuva;0.00;
ARARANGUÁ;420140614H;SC;Rio Ararangua;-49.48753;-28.93003;13.61;2019-01-08 07:10:00.0;chuva;0.00;
ARARANGUÁ;420140614H;SC;Rio Ararangua;-49.48753;-28.93003;13.61;2019-01-08 08:10:00.0;chuva;0.20;
ARARANGUÁ;420140614H;SC;Rio Ararangua;-49.48753;-28.93003;13.61;2019-01-08 09:10:00.0;chuva;0.00;
ARARANGUÁ;420140614H;SC;Rio Ararangua;-49.48753;-28.93003;13.61;2019-01-08 10:10:00.0;chuva;0.00;
ARARANGUÁ;420140614H;SC;Rio Ararangua;-49.48753;-28.93003;13.61;2019-01-08 11:10:00.0;chuva;0.00;
ARARANGUÁ;420140614H;SC;Rio Ararangua;-49.48753;-28.93003;13.61;2019-01-08 12:10:00.0;chuva;0.00;
ARARANGUÁ;420140614H;SC;Rio Ararangua;-49.48753;-28.93003;13.61;2019-01-08 13:10:00.0;chuva;0.00;
ARARANGUÁ;420140614H;SC;Rio Ararangua;-49.48753;-28.93003;13.61;2019-01-08 14:10:00.0;chuva;0.00;
ARARANGUÁ;420140614H;SC;Rio Ararangua;-49.48753;-28.93003;13.61;2019-01-08 15:10:00.0;chuva;0.00;
ARARANGUÁ;420140614H;SC;Rio Ararangua;-49.48753;-28.93003;13.61;2019-01-08 16:10:00.0;chuva;0.00;
ARARANGUÁ;420140614H;SC;Rio Ararangua;-49.48753;-28.93003;13.61;2019-01-08 17:10:00.0;chuva;0.00;
ARARANGUÁ;420140614H;SC;Rio Ararangua;-49.48753;-28.93003;13.61;2019-01-08 18:10:00.0;chuva;0.00;
ARARANGUÁ;420140614H;SC;Rio Ararangua;-49.48753;-28.93003;13.61;2019-01-08 19:10:00.0;chuva;0.00;
ARARANGUÁ;420140614H;SC;Rio Ararangua;-49.48753;-28.93003;13.61;2019-01-08 20:10:00.0;chuva;0.00;
ARARANGUÁ;420140614H;SC;Rio Ararangua;-49.48753;-28.93003;13.61;2019-01-08 21:10:00.0;chuva;0.00;
ARARANGUÁ;420140614H;SC;Rio Ararangua;-49.48753;-28.93003;13.61;2019-01-08 21:20:00.0;chuva;0.20;
ARARANGUÁ;420140614H;SC;Rio Ararangua;-49.48753;-28.93003;13.61;2019-01-08 22:10:00.0;chuva;0.00;
